14000, 5, /data/simple/testSwap_4.matrix, object normalized
1.355000019
0, 11060, 0.9205518346, 3.135999918
1, 1175, 0.8359308854, 0.3340001106
2, 565, 0.3325682701, 0.1619999409
3, 290, 0.1388432733, 0.08299994469
4, 174, 0.04593875851, 0.05000019073
5, 116, 0.03976352792, 0.03399991989
6, 102, 0.02867769106, 0.02999997139
7, 71, 0.02794302062, 0.02200007439
8, 71, 0.02701923885, 0.02099990845
9, 63, 0.01962000526, 0.01800012589
10, 33, 0.01561134335, 0.01099991798
11, 24, 0.008233200528, 0.006999969482
12, 20, 0.00774340602, 0.006999969482
13, 22, 0.007557309568, 0.006999969482
14, 11, 0.004008681975, 0.00400018692
15, 17, 0.005142925745, 0.005999803543
16, 12, 0.00368696618, 0.00400018692
17, 13, 0.002574844838, 0.004999876022
18, 8, 0.003728519602, 0.003000020981
19, 0, 0, 0.0009999275208
20, 13847, 3.944999933
5.299999952
