K-averages clustering of 19000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_9.matrix', metrics: object normalized
Loading data and computing initial values: 2.538000107 s (all future times given in seconds)
Iteration 1, 15121 moved objects, max delta = 0.8921472468, deltaT = 5.902999878
Iteration 2, 1311 moved objects, max delta = 0.6631843139, deltaT = 0.5050001144
Iteration 3, 360 moved objects, max delta = 0.1086353942, deltaT = 0.1399998665
Iteration 4, 198 moved objects, max delta = 0.04985465525, deltaT = 0.07899999619
Iteration 5, 110 moved objects, max delta = 0.02468564155, deltaT = 0.04400014877
Iteration 6, 83 moved objects, max delta = 0.01419387372, deltaT = 0.03299999237
Iteration 7, 66 moved objects, max delta = 0.01044855586, deltaT = 0.02799987793
Iteration 8, 45 moved objects, max delta = 0.008132894999, deltaT = 0.01800012589
Iteration 9, 47 moved objects, max delta = 0.009997778333, deltaT = 0.01999998093
Iteration 10, 53 moved objects, max delta = 0.01108274507, deltaT = 0.02099990845
Iteration 11, 45 moved objects, max delta = 0.01169742956, deltaT = 0.01900005341
Iteration 12, 22 moved objects, max delta = 0.007776796418, deltaT = 0.009999990463
Iteration 13, 32 moved objects, max delta = 0.007689893444, deltaT = 0.01300001144
Iteration 14, 32 moved objects, max delta = 0.005556277071, deltaT = 0.01399993896
Iteration 15, 30 moved objects, max delta = 0.007005009389, deltaT = 0.01300001144
Iteration 16, 18 moved objects, max delta = 0.004413491056, deltaT = 0.008000135422
Iteration 17, 10 moved objects, max delta = 0.001826075808, deltaT = 0.004999876022
Iteration 18, 9 moved objects, max delta = 0.002377567577, deltaT = 0.005000114441
Iteration 19, 5 moved objects, max delta = 0.002458757545, deltaT = 0.002999782562
Iteration 20, 5 moved objects, max delta = 0.0009008718269, deltaT = 0.00400018692
Iteration 21, 15 moved objects, max delta = 0.005262578909, deltaT = 0.006999969482
Iteration 22, 30 moved objects, max delta = 0.00805266942, deltaT = 0.0119998455
Iteration 23, 23 moved objects, max delta = 0.008621017034, deltaT = 0.01000022888
Iteration 24, 34 moved objects, max delta = 0.007268209084, deltaT = 0.01499986649
Iteration 25, 44 moved objects, max delta = 0.007194476382, deltaT = 0.01800012589
Iteration 26, 26 moved objects, max delta = 0.006841400134, deltaT = 0.01099991798
Iteration 27, 30 moved objects, max delta = 0.005429770639, deltaT = 0.01300001144
Iteration 28, 39 moved objects, max delta = 0.006751075142, deltaT = 0.01600003242
Iteration 29, 38 moved objects, max delta = 0.01126972918, deltaT = 0.01600003242
Iteration 30, 61 moved objects, max delta = 0.02098297985, deltaT = 0.02499985695
Iteration 31, 60 moved objects, max delta = 0.02603746975, deltaT = 0.02500009537
Iteration 32, 53 moved objects, max delta = 0.01342662871, deltaT = 0.02099990845
Iteration 33, 57 moved objects, max delta = 0.01232520456, deltaT = 0.02300000191
Iteration 34, 55 moved objects, max delta = 0.01150178336, deltaT = 0.02300000191
Iteration 35, 39 moved objects, max delta = 0.01114105521, deltaT = 0.01699995995
Iteration 36, 55 moved objects, max delta = 0.01394613335, deltaT = 0.02200007439
Iteration 37, 59 moved objects, max delta = 0.01629497271, deltaT = 0.02399992943
Iteration 38, 58 moved objects, max delta = 0.01551138879, deltaT = 0.02400016785
Iteration 39, 59 moved objects, max delta = 0.01879221469, deltaT = 0.02499985695
Iteration 40, 73 moved objects, max delta = 0.01673662841, deltaT = 0.02900004387
Iteration 41, 66 moved objects, max delta = 0.01805305663, deltaT = 0.02699995041
Iteration 42, 36 moved objects, max delta = 0.01240595288, deltaT = 0.0150001049
Iteration 43, 26 moved objects, max delta = 0.00598716593, deltaT = 0.01099991798
Iteration 44, 36 moved objects, max delta = 0.006138130699, deltaT = 0.0150001049
Iteration 45, 29 moved objects, max delta = 0.008846258948, deltaT = 0.01300001144
Iteration 46, 20 moved objects, max delta = 0.005792423614, deltaT = 0.008999824524
Iteration 47, 20 moved objects, max delta = 0.003674990945, deltaT = 0.009000062943
Iteration 48, 22 moved objects, max delta = 0.004453503688, deltaT = 0.009000062943
Iteration 49, 20 moved objects, max delta = 0.003855213678, deltaT = 0.009000062943
Iteration 50, 18 moved objects, max delta = 0.001967029105, deltaT = 0.008999824524
Iteration 51, 8 moved objects, max delta = 0.002373047039, deltaT = 0.00400018692
Iteration 52, 4 moved objects, max delta = 0.0003640026232, deltaT = 0.002999782562
Iteration 53, 15 moved objects, max delta = 0.001613742816, deltaT = 0.007000207901
Iteration 54, 18 moved objects, max delta = 0.004424104444, deltaT = 0.007999897003
Iteration 55, 4 moved objects, max delta = 0.003018981908, deltaT = 0.003000020981
Iteration 56, 1 moved object, max delta = 0.000466590925, deltaT = 0.00200009346
Iteration 57, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 57 iterations, 18853 moved objects, clustering performed in 7.414999962 s
Total time with loading: 9.953000069 s
