K-averages clustering of 15000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_5.matrix'
Loading data and computing initial values: 1.356999874 s (all future times given in seconds)
Iteration 1, 11683 moved objects, max delta = 0.02007173869, deltaT = 1.723999977
Iteration 2, 1932 moved objects, max delta = 0.2911081345, deltaT = 1.709000111
Iteration 3, 552 moved objects, max delta = 0.2526304572, deltaT = 1.70299983
Iteration 4, 256 moved objects, max delta = 0.04585012736, deltaT = 1.700000048
Iteration 5, 178 moved objects, max delta = 0.02668297636, deltaT = 1.703000069
Iteration 6, 115 moved objects, max delta = 0.01964704161, deltaT = 1.698999882
Iteration 7, 92 moved objects, max delta = 0.01116637066, deltaT = 1.696000099
Iteration 8, 59 moved objects, max delta = 0.007202801387, deltaT = 1.690000057
Iteration 9, 38 moved objects, max delta = 0.006111066095, deltaT = 1.697000027
Iteration 10, 29 moved objects, max delta = 0.003514530608, deltaT = 1.69299984
Iteration 11, 19 moved objects, max delta = 0.003127444011, deltaT = 1.69900012
Iteration 12, 17 moved objects, max delta = 0.001577178917, deltaT = 1.703000069
Iteration 13, 19 moved objects, max delta = 0.002674092547, deltaT = 1.698999882
Iteration 14, 25 moved objects, max delta = 0.003959591086, deltaT = 1.703000069
Iteration 15, 21 moved objects, max delta = 0.005115659704, deltaT = 1.731999874
Iteration 16, 25 moved objects, max delta = 0.003581729176, deltaT = 1.76699996
Iteration 17, 31 moved objects, max delta = 0.003931735128, deltaT = 1.711000204
Iteration 18, 30 moved objects, max delta = 0.005725930983, deltaT = 1.698999882
Iteration 19, 39 moved objects, max delta = 0.003520901727, deltaT = 1.697999954
Iteration 20, 43 moved objects, max delta = 0.00408333876, deltaT = 1.69900012
Iteration 21, 54 moved objects, max delta = 0.00530978282, deltaT = 1.700999975
Iteration 22, 46 moved objects, max delta = 0.007340303347, deltaT = 1.697999954
Iteration 23, 41 moved objects, max delta = 0.00483999477, deltaT = 1.69900012
Iteration 24, 41 moved objects, max delta = 0.00517976886, deltaT = 1.697999954
Iteration 25, 46 moved objects, max delta = 0.005656580319, deltaT = 1.694000006
Iteration 26, 41 moved objects, max delta = 0.007867796197, deltaT = 1.690999985
Iteration 27, 40 moved objects, max delta = 0.006075064314, deltaT = 1.700999975
Iteration 28, 35 moved objects, max delta = 0.005493903323, deltaT = 1.765000105
Iteration 29, 36 moved objects, max delta = 0.003723397823, deltaT = 1.717999935
Iteration 30, 37 moved objects, max delta = 0.00518114151, deltaT = 1.756999969
Iteration 31, 31 moved objects, max delta = 0.004575523848, deltaT = 1.694999933
Iteration 32, 36 moved objects, max delta = 0.004639043561, deltaT = 1.694000006
Iteration 33, 40 moved objects, max delta = 0.005529056047, deltaT = 1.697999954
Iteration 34, 58 moved objects, max delta = 0.005931829027, deltaT = 1.771000147
Iteration 35, 74 moved objects, max delta = 0.008052560153, deltaT = 1.776000023
Iteration 36, 81 moved objects, max delta = 0.01066334558, deltaT = 1.738999844
Iteration 37, 68 moved objects, max delta = 0.01157500809, deltaT = 1.754000187
Iteration 38, 81 moved objects, max delta = 0.009854352573, deltaT = 1.700999975
Iteration 39, 102 moved objects, max delta = 0.009914790856, deltaT = 1.697000027
Iteration 40, 118 moved objects, max delta = 0.01254006287, deltaT = 1.693999767
Iteration 41, 125 moved objects, max delta = 0.01600832731, deltaT = 1.692000151
Iteration 42, 141 moved objects, max delta = 0.01760230354, deltaT = 1.694999933
Iteration 43, 147 moved objects, max delta = 0.02197748408, deltaT = 1.700000048
Iteration 44, 134 moved objects, max delta = 0.02454512429, deltaT = 1.690000057
Iteration 45, 119 moved objects, max delta = 0.01954665033, deltaT = 1.694000006
Iteration 46, 135 moved objects, max delta = 0.01594150089, deltaT = 1.695999861
Iteration 47, 166 moved objects, max delta = 0.01659516526, deltaT = 1.69900012
Iteration 48, 167 moved objects, max delta = 0.01901727274, deltaT = 1.707000017
Iteration 49, 191 moved objects, max delta = 0.02008974925, deltaT = 1.710000038
Iteration 50, 230 moved objects, max delta = 0.02089773318, deltaT = 1.756000042
Iteration 51, 249 moved objects, max delta = 0.02875867649, deltaT = 1.697999954
Iteration 52, 244 moved objects, max delta = 0.03125837354, deltaT = 1.694000006
Iteration 53, 264 moved objects, max delta = 0.03394942527, deltaT = 1.694999933
Iteration 54, 274 moved objects, max delta = 0.03479593496, deltaT = 1.742000103
Iteration 55, 283 moved objects, max delta = 0.03881520767, deltaT = 1.698999882
Iteration 56, 283 moved objects, max delta = 0.04205003857, deltaT = 1.697999954
Iteration 57, 266 moved objects, max delta = 0.03826317495, deltaT = 1.693000078
Iteration 58, 269 moved objects, max delta = 0.04139648795, deltaT = 1.693000078
Iteration 59, 247 moved objects, max delta = 0.04616255759, deltaT = 1.694999933
Iteration 60, 218 moved objects, max delta = 0.0400819978, deltaT = 1.690999985
Iteration 61, 197 moved objects, max delta = 0.0354712551, deltaT = 1.693000078
Iteration 62, 182 moved objects, max delta = 0.03142099132, deltaT = 1.690999985
Iteration 63, 176 moved objects, max delta = 0.02671231196, deltaT = 1.694000006
Iteration 64, 189 moved objects, max delta = 0.0263026029, deltaT = 1.697999954
Iteration 65, 162 moved objects, max delta = 0.03107931256, deltaT = 1.691999912
Iteration 66, 148 moved objects, max delta = 0.02238290693, deltaT = 1.696000099
Iteration 67, 126 moved objects, max delta = 0.01696627477, deltaT = 1.739000082
Iteration 68, 95 moved objects, max delta = 0.01709743807, deltaT = 1.688999891
Iteration 69, 78 moved objects, max delta = 0.01067719945, deltaT = 1.697000027
Iteration 70, 73 moved objects, max delta = 0.009117253535, deltaT = 1.698999882
Iteration 71, 65 moved objects, max delta = 0.009391122419, deltaT = 1.68900013
Iteration 72, 62 moved objects, max delta = 0.008489426775, deltaT = 1.690999985
Iteration 73, 57 moved objects, max delta = 0.006698584698, deltaT = 1.708999872
Iteration 74, 52 moved objects, max delta = 0.007186401731, deltaT = 1.754000187
