K-averages clustering of 12000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_2.matrix', metrics: object normalized
Loading data and computing initial values: 6.835000038 s (all future times given in seconds)
Iteration 1, 9497 moved objects, max delta = 0.8504690465, deltaT = 2.422999859
Iteration 2, 1471 moved objects, max delta = 0.6148676353, deltaT = 0.3759999275
Iteration 3, 411 moved objects, max delta = 0.1392185986, deltaT = 0.106000185
Iteration 4, 348 moved objects, max delta = 0.1695800466, deltaT = 0.08899998665
Iteration 5, 390 moved objects, max delta = 0.1749087564, deltaT = 0.1009998322
Iteration 6, 409 moved objects, max delta = 0.2022067215, deltaT = 0.1050000191
Iteration 7, 345 moved objects, max delta = 0.1973500078, deltaT = 0.08899998665
Iteration 8, 264 moved objects, max delta = 0.1118884834, deltaT = 0.0680000782
Iteration 9, 233 moved objects, max delta = 0.09812741274, deltaT = 0.05999994278
Iteration 10, 198 moved objects, max delta = 0.07240998427, deltaT = 0.05100011826
Iteration 11, 139 moved objects, max delta = 0.05019301822, deltaT = 0.03699994087
Iteration 12, 105 moved objects, max delta = 0.03381278538, deltaT = 0.02699995041
Iteration 13, 69 moved objects, max delta = 0.02140161905, deltaT = 0.01900005341
Iteration 14, 45 moved objects, max delta = 0.01678089695, deltaT = 0.01200008392
Iteration 15, 49 moved objects, max delta = 0.01335398169, deltaT = 0.01300001144
Iteration 16, 39 moved objects, max delta = 0.01525523821, deltaT = 0.01099991798
Iteration 17, 22 moved objects, max delta = 0.01261795825, deltaT = 0.006999969482
Iteration 18, 26 moved objects, max delta = 0.01017624243, deltaT = 0.006999969482
Iteration 19, 29 moved objects, max delta = 0.01479085774, deltaT = 0.009000062943
Iteration 20, 37 moved objects, max delta = 0.01301870153, deltaT = 0.009999990463
Iteration 21, 34 moved objects, max delta = 0.01365226897, deltaT = 0.009000062943
Iteration 22, 27 moved objects, max delta = 0.02167251987, deltaT = 0.007999897003
Iteration 23, 14 moved objects, max delta = 0.005223242502, deltaT = 0.005000114441
Iteration 24, 10 moved objects, max delta = 0.002657590659, deltaT = 0.003000020981
Iteration 25, 9 moved objects, max delta = 0.003528701898, deltaT = 0.003000020981
Iteration 26, 5 moved objects, max delta = 0.001420519287, deltaT = 0.001999855042
Iteration 27, 7 moved objects, max delta = 0.001344582242, deltaT = 0.003000020981
Iteration 28, 1 moved object, max delta = 0.003014047298, deltaT = 0.0009999275208
Iteration 29, 1 moved object, max delta = 0.0003781869095, deltaT = 0.001000165939
Iteration 30, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 30 iterations, 14234 moved objects, clustering performed in 3.655999899 s
Total time with loading: 10.49099994 s
