13000, 5, /data/simple/testSwap_3.matrix, object normalized
7.947999954
0, 10246, 0.9167455984, 2.833000183
1, 985, 0.8695178, 0.2730000019
2, 565, 0.1478509008, 0.1569998264
3, 449, 0.08921688289, 0.1260001659
4, 388, 0.08388079447, 0.1079998016
5, 313, 0.08644881602, 0.08700013161
6, 319, 0.08859509862, 0.08899998665
7, 320, 0.1125973506, 0.08999991417
8, 327, 0.1335403973, 0.09100008011
9, 324, 0.1329592671, 0.09100008011
10, 271, 0.140138202, 0.07499980927
11, 259, 0.1223013205, 0.07300019264
12, 281, 0.1050839873, 0.07799983025
13, 214, 0.08715994813, 0.06100010872
14, 148, 0.04569585899, 0.04099988937
15, 127, 0.05027731013, 0.03600001335
16, 122, 0.0533954053, 0.03500008583
17, 116, 0.05054630367, 0.03299999237
18, 98, 0.03741611614, 0.02799987793
19, 115, 0.04512099265, 0.03299999237
20, 74, 0.04795318585, 0.02100014687
21, 97, 0.02486553441, 0.02799987793
22, 68, 0.03619091195, 0.01999998093
23, 37, 0.01739881922, 0.0110001564
24, 15, 0.004242303393, 0.004999876022
25, 3, 0.005696305937, 0.00200009346
26, 0, 0, 0.0009999275208
27, 16281, 4.526000023
12.47399998
