K-averages clustering of 19000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_9.matrix'
Loading data and computing initial values: 462.631 s (all future times given in seconds)
Iteration 1, 14803 moved objects, max delta = 0.01470090069, deltaT = 136.3310001
Iteration 2, 4431 moved objects, max delta = 0.2951114281, deltaT = 122.6159999
Iteration 3, 1780 moved objects, max delta = 0.1782537556, deltaT = 121.132
Iteration 4, 1137 moved objects, max delta = 0.1356288922, deltaT = 117.556
Iteration 5, 756 moved objects, max delta = 0.1104165505, deltaT = 141.46
Iteration 6, 527 moved objects, max delta = 0.08194705212, deltaT = 119.5309999
Iteration 7, 439 moved objects, max delta = 0.06272462303, deltaT = 123.7059999
Iteration 8, 384 moved objects, max delta = 0.04726366365, deltaT = 124.223
Iteration 9, 332 moved objects, max delta = 0.04529079835, deltaT = 118.3050001
Iteration 10, 285 moved objects, max delta = 0.03869750694, deltaT = 126.924
Iteration 11, 229 moved objects, max delta = 0.03151593483, deltaT = 120.5309999
Iteration 12, 216 moved objects, max delta = 0.02705920356, deltaT = 126.099
Iteration 13, 198 moved objects, max delta = 0.02872493896, deltaT = 134.392
Iteration 14, 190 moved objects, max delta = 0.02237300457, deltaT = 123.8040001
Iteration 15, 180 moved objects, max delta = 0.02317564717, deltaT = 125.7659998
Iteration 16, 210 moved objects, max delta = 0.02027552881, deltaT = 120.914
Iteration 17, 226 moved objects, max delta = 0.02295740783, deltaT = 122.141
Iteration 18, 207 moved objects, max delta = 0.02594738917, deltaT = 126.125
Iteration 19, 226 moved objects, max delta = 0.0243869064, deltaT = 117.7810001
Iteration 20, 215 moved objects, max delta = 0.02982628443, deltaT = 126.0979998
Iteration 21, 194 moved objects, max delta = 0.02330653624, deltaT = 122.6819999
Iteration 22, 176 moved objects, max delta = 0.01968686139, deltaT = 122.1399999
Iteration 23, 179 moved objects, max delta = 0.02003133647, deltaT = 121.306
Iteration 24, 203 moved objects, max delta = 0.02232668817, deltaT = 122.516
Iteration 25, 182 moved objects, max delta = 0.02128618764, deltaT = 131.092
Iteration 26, 170 moved objects, max delta = 0.01997308136, deltaT = 121.273
Iteration 27, 163 moved objects, max delta = 0.01967560247, deltaT = 133.582
Iteration 28, 154 moved objects, max delta = 0.01544771766, deltaT = 119.313
Iteration 29, 167 moved objects, max delta = 0.01387541618, deltaT = 135.3429999
Iteration 30, 164 moved objects, max delta = 0.01792927711, deltaT = 128.8139999
Iteration 31, 148 moved objects, max delta = 0.01770785619, deltaT = 120.0639999
Iteration 32, 139 moved objects, max delta = 0.01506237874, deltaT = 125.572
Iteration 33, 137 moved objects, max delta = 0.01253591761, deltaT = 119.9400001
Iteration 34, 120 moved objects, max delta = 0.01331873799, deltaT = 131.158
Iteration 35, 121 moved objects, max delta = 0.01178766579, deltaT = 118.964
Iteration 36, 101 moved objects, max delta = 0.01267011419, deltaT = 118.8299999
Iteration 37, 115 moved objects, max delta = 0.01102926521, deltaT = 132.266
Iteration 38, 108 moved objects, max delta = 0.009392350453, deltaT = 131.6330001
Iteration 39, 114 moved objects, max delta = 0.01086737965, deltaT = 129.3249998
Iteration 40, 113 moved objects, max delta = 0.009403941694, deltaT = 115.9219999
Iteration 41, 95 moved objects, max delta = 0.008450135517, deltaT = 115.8870001
Iteration 42, 100 moved objects, max delta = 0.006871103809, deltaT = 127.2830002
Iteration 43, 87 moved objects, max delta = 0.006604134032, deltaT = 128.9820001
Iteration 44, 71 moved objects, max delta = 0.007125949032, deltaT = 139.109
Iteration 45, 66 moved objects, max delta = 0.006408624689, deltaT = 126.799
Iteration 46, 56 moved objects, max delta = 0.00544645892, deltaT = 132.316
Iteration 47, 61 moved objects, max delta = 0.005303787176, deltaT = 107.9889998
Iteration 48, 54 moved objects, max delta = 0.005799321867, deltaT = 118.523
Iteration 49, 46 moved objects, max delta = 0.004370738497, deltaT = 139.2260001
Iteration 50, 47 moved objects, max delta = 0.004651459878, deltaT = 119.4980001
Iteration 51, 46 moved objects, max delta = 0.00536079944, deltaT = 128.2739999
Iteration 52, 43 moved objects, max delta = 0.00419989388, deltaT = 118.3640001
Iteration 53, 28 moved objects, max delta = 0.003968281636, deltaT = 124.6569998
Iteration 54, 22 moved objects, max delta = 0.002818759286, deltaT = 118.2390001
