dataSet,id,nbClasses,nbSamples
50words, 1,50, 905
Adiac, 2,37, 781
Beef, 3, 5,  60
CBF, 4, 3, 930
ChlorineConcentration, 5, 3,4307
CinC\_ECG\_torso, 6, 4,1420
Coffee, 7, 2,  56
Cricket\_X, 8,12, 780
Cricket\_Y, 9,12, 780
Cricket\_Z,10,12, 780
DiatomSizeReduction,11, 4, 322
ECG200,12, 2, 200
ECGFiveDays,13, 2, 884
FaceAll,14,14,2250
FaceFour,15, 4, 112
FacesUCR,16,14,2250
Gun\_Point,17, 2, 200
Haptics,18, 5, 463
InlineSkate,19, 7, 650
ItalyPowerDemand,20, 2,1096
Lighting2,21, 2, 121
Lighting7,22, 7, 143
MALLAT,23, 8,2400
MedicalImages,24,10,1141
MoteStrain,25, 2,1272
OSULeaf,26, 6, 442
OliveOil,27, 4,  60
SonyAIBORobotSurface,28, 2, 621
SonyAIBORobotSurfaceII,29, 2, 980
StarLightCurves,30, 3,9236
SwedishLeaf,31,15,1125
Symbols,32, 6,1020
Trace,33, 4, 200
TwoLeadECG,34, 2,1162
Two\_Patterns,35, 4,5000
WordsSynonyms,36,25, 905
fish,37, 7, 350
synthetic\_control,38, 6, 600
uWaveGestureLibrary\_X,39, 8,4478
uWaveGestureLibrary\_Y,40, 8,4478
uWaveGestureLibrary\_Z,41, 8,4478
wafer,42, 2,7164
yoga,43, 2,3300
